Temperature (C),Pressure (bar),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/kg)","Enthalpy (l, kJ/kg)","Entropy (l, J/g*K)","Cv (l, J/g*K)","Cp (l, J/g*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/bar)","Viscosity (l, uPa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/kg)","Enthalpy (v, kJ/kg)","Entropy (v, J/g*K)","Cv (v, J/g*K)","Cp (v, J/g*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/bar)","Viscosity (v, uPa*s)","Therm. Cond. (v, W/m*K)"
-21.850,17.000,1005.6,0.00099438,118.61,120.30,0.54793,0.91034,1.9676,707.77,0.0035722,120.50,0.12537,0.0094803,44.122,0.022664,361.81,400.34,1.6623,0.79520,1.2798,218.78,1.8125,13.339,0.015103
-19.946,18.000,997.85,0.0010022,122.25,124.05,0.56242,0.91002,1.9852,695.22,0.0054761,117.77,0.12323,0.0091082,46.805,0.021365,362.02,400.48,1.6541,0.80192,1.3056,218.34,1.7789,13.485,0.015370
-18.117,19.000,990.25,0.0010099,125.77,127.69,0.57632,0.90976,2.0032,683.10,0.0074151,115.20,0.12119,0.0087533,49.514,0.020196,362.19,400.56,1.6463,0.80844,1.3319,217.87,1.7477,13.627,0.015636
-16.357,20.000,982.81,0.0010175,129.18,131.21,0.58970,0.90957,2.0216,671.38,0.0093921,112.77,0.11923,0.0084141,52.249,0.019139,362.32,400.60,1.6387,0.81477,1.3587,217.39,1.7187,13.767,0.015902
-14.661,21.000,975.54,0.0010251,132.48,134.64,0.60260,0.90945,2.0405,660.03,0.011410,110.48,0.11735,0.0080891,55.011,0.018178,362.41,400.59,1.6315,0.82095,1.3860,216.88,1.6915,13.905,0.016168
-13.022,22.000,968.40,0.0010326,135.70,137.97,0.61506,0.90938,2.0600,649.00,0.013472,108.29,0.11553,0.0077773,57.803,0.017300,362.47,400.53,1.6244,0.82697,1.4140,216.37,1.6660,14.040,0.016435
-11.436,23.000,961.38,0.0010402,138.83,141.22,0.62713,0.90937,2.0800,638.26,0.015582,106.22,0.11378,0.0074777,60.625,0.016495,362.50,400.43,1.6176,0.83287,1.4427,215.84,1.6419,14.174,0.016704
-9.8995,24.000,954.48,0.0010477,141.89,144.40,0.63883,0.90941,2.1007,627.80,0.017741,104.23,0.11209,0.0071893,63.479,0.015753,362.49,400.30,1.6109,0.83865,1.4722,215.30,1.6192,14.306,0.016974
-8.4091,25.000,947.68,0.0010552,144.87,147.51,0.65020,0.90950,2.1220,617.59,0.019954,102.33,0.11046,0.0069114,66.366,0.015068,362.45,400.12,1.6044,0.84433,1.5025,214.74,1.5976,14.437,0.017247
-6.9615,26.000,940.97,0.0010627,147.79,150.55,0.66127,0.90964,2.1440,607.60,0.022224,100.50,0.10887,0.0066433,69.288,0.014433,362.39,399.91,1.5980,0.84992,1.5338,214.18,1.5772,14.567,0.017523
